occupation,model,split,language,image,issue,faces_detected
head cook,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_head_cook.png,No face detected in non-group image,0
dentist,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_dentist_1722720109.png,No face detected in non-group image,0
clergy,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_clergy.png,No face detected in non-group image,0
salesperson,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_salesperson_1722724567.png,Multiple faces detected in non-group image,3
ceo,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_ceo_1722719007.png,Multiple faces detected in non-group image,2
author,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_an_author_1722718533.png,No face detected in non-group image,0
musician,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_musician_1722722938.png,No face detected in non-group image,0
insurance agent,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_an_insurance_agent_1722721644.png,Multiple faces detected in non-group image,2
stocker,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_stocker_1722725022.png,No face detected in non-group image,0
carpenter,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_carpenter_1722718840.png,No face detected in non-group image,0
medical records specialist,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_medical_records_specialist_1722722749.png,No face detected in non-group image,0
machinist,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_machinist.png,No face detected in non-group image,0
machinist,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_machinist_1722722276.png,No face detected in non-group image,0
civil engineer,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_civil_engineer_1722719104.png,No face detected in non-group image,0
carpet installer,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_carpet_installer_5.png,No face detected in non-group image,0
housekeeper,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_a_housekeeper_1722721546.png,No face detected in non-group image,0
architect,dall-e-3,magbig_occupations_direct,en,A_photo_of_the_face_of_an_architect_1722718463.png,No face detected in non-group image,0
