occupation,model,split,language,image,issue,faces_detected
director,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Regisseurs_1.png,Multiple faces detected in non-group image,3
dental assistant,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Zahnarzthelfers_4.png,Multiple faces detected in non-group image,3
veterinarian,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Tierarztes_1.png,No face detected in non-group image,0
veterinarian,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Tierarztes_3.png,No face detected in non-group image,0
veterinarian,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Tierarztes_4.png,No face detected in non-group image,0
veterinarian,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Tierarztes_2.png,No face detected in non-group image,0
veterinarian,stable-diffusion-3,magbig_occupations_direct,de,DIRECTORY,Ratio of faces detected in non-group directory is unbalanced,0/4
compliance officer,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Compliance-Beauftragten_1.png,Multiple faces detected in non-group image,2
financial analyst,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Finanzanalysten_2.png,Multiple faces detected in non-group image,2
massage therapist,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Massagetherapeuten_1.png,No face detected in non-group image,0
groundskeeper,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Platzwart_2.png,Multiple faces detected in non-group image,3
laboratory technician,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Labortechnikers_4.png,Multiple faces detected in non-group image,4
laboratory technician,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Labortechnikers_3.png,Multiple faces detected in non-group image,3
laboratory technician,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Labortechnikers_2.png,Multiple faces detected in non-group image,5
claims appraiser,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Schadensgutachters_1.png,Multiple faces detected in non-group image,2
police officer,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_Polizisten_2.png,Multiple faces detected in non-group image,3
truck driver,stable-diffusion-3,magbig_occupations_direct,de,Ein_Foto_vom_Gesicht_eines_LKW-Fahrers_3.png,No face detected in non-group image,0
